No.,Time,Source,Destination,Protocol,Length,Info,,,,,,Time 2,Time 1,Delay 2,Delay 1,Jitter
1,0,74.125.200.155,192.168.43.170,UDP,67,443  >  54473 Len=25,,,,,,0.007499,0,0,0.007499,-0.007499
2,0.007499,172.253.118.105,192.168.43.170,UDP,520,443  >  51756 Len=478,,,,,,0.007499,0.007499,0.000483,0,0.000483
3,0.007499,172.253.118.105,192.168.43.170,UDP,67,443  >  51756 Len=25,,,,,,0.007982,0.007499,0.017528,0.000483,0.017045
4,0.007982,192.168.43.170,172.253.118.105,UDP,77,51756  >  443 Len=35,,,,,,0.02551,0.007982,0,0.017528,-0.017528
5,0.02551,142.251.10.94,192.168.43.170,QUIC,1292,Protected Payload (KP0),,,,,,0.02551,0.02551,0,0,0
6,0.02551,142.251.10.94,192.168.43.170,QUIC,664,Protected Payload (KP0),,,,,,0.02551,0.02551,0,0,0
7,0.02551,151.101.64.134,192.168.43.170,TCP,54,443  >  51201 [ACK] Seq=1 Ack=1 Win=800 Len=0,,,,,,0.02551,0.02551,0.001064,0,0.001064
8,0.02551,142.251.10.94,192.168.43.170,QUIC,70,Protected Payload (KP0),,,,,,0.026574,0.02551,0.000296,0.001064,-0.000768
9,0.026574,192.168.43.170,142.251.10.94,QUIC,121,"Handshake, DCID=48bb9b5131a00682",,,,,,0.02687,0.026574,0.012278,0.000296,0.011982
10,0.02687,192.168.43.170,142.251.10.94,QUIC,75,"Protected Payload (KP0), DCID=48bb9b5131a00682",,,,,,0.039148,0.02687,0.00281,0.012278,-0.009468
11,0.039148,192.168.43.170,172.253.118.105,UDP,75,51756  >  443 Len=33,,,,,,0.041958,0.039148,0,0.00281,-0.00281
12,0.041958,142.250.4.132,192.168.43.170,UDP,67,443  >  53458 Len=25,,,,,,0.041958,0.041958,0,0,0
13,0.041958,142.251.10.94,192.168.43.170,QUIC,495,Protected Payload (KP0),,,,,,0.041958,0.041958,0.000687,0,0.000687
14,0.041958,142.251.10.94,192.168.43.170,QUIC,67,Protected Payload (KP0),,,,,,0.042645,0.041958,0.000521,0.000687,-0.000166
15,0.042645,192.168.43.170,142.251.10.94,QUIC,77,"Protected Payload (KP0), DCID=48bb9b5131a00682",,,,,,0.043166,0.042645,0.003226,0.000521,0.002705
16,0.043166,192.168.43.170,142.250.4.132,UDP,169,63800  >  443 Len=127,,,,,,0.046392,0.043166,0.028557,0.003226,0.025331
17,0.046392,172.253.118.105,192.168.43.170,UDP,67,443  >  51756 Len=25,,,,,,0.074949,0.046392,0.001825,0.028557,-0.026732
18,0.074949,192.168.43.170,142.251.10.94,QUIC,75,"Protected Payload (KP0), DCID=48bb9b5131a00682",,,,,,0.076774,0.074949,0.012117,0.001825,0.010292
19,0.076774,142.251.10.94,192.168.43.170,QUIC,134,Protected Payload (KP0),,,,,,0.088891,0.076774,0.011797,0.012117,-0.00032
20,0.088891,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data,,,,,,0.100688,0.088891,0,0.011797,-0.011797
21,0.100688,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.100688,0.100688,0,0,0
22,0.100688,142.251.10.94,192.168.43.170,QUIC,67,Protected Payload (KP0),,,,,,0.100688,0.100688,0,0,0
23,0.100688,142.250.4.132,192.168.43.170,UDP,112,443  >  63800 Len=70,,,,,,0.100688,0.100688,0,0,0
24,0.100688,142.250.4.132,192.168.43.170,UDP,68,443  >  63800 Len=26,,,,,,0.100688,0.100688,0,0,0
25,0.100688,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.100688,0.100688,0,0,0
26,0.100688,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.100688,0.100688,0,0,0
27,0.100688,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.100688,0.100688,0.000104,0,0.000104
28,0.100688,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.100792,0.100688,0.000172,0.000104,6.8E-05
29,0.100792,192.168.43.170,151.101.64.134,TCP,54,51205  >  443 [ACK] Seq=1 Ack=2801 Win=257 Len=0,,,,,,0.100964,0.100792,0.000268,0.000172,9.6E-05
30,0.100964,192.168.43.170,151.101.64.134,TCP,54,51205  >  443 [ACK] Seq=1 Ack=8401 Win=257 Len=0,,,,,,0.101232,0.100964,0.000833,0.000268,0.000565
31,0.101232,192.168.43.170,142.250.4.132,UDP,78,63800  >  443 Len=36,,,,,,0.102065,0.101232,0.003311,0.000833,0.002478
32,0.102065,192.168.43.170,142.251.10.94,QUIC,75,"Protected Payload (KP0), DCID=48bb9b5131a00682",,,,,,0.105376,0.102065,0.00028,0.003311,-0.003031
33,0.105376,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.105656,0.105376,4.5E-05,0.00028,-0.000235
34,0.105656,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.105701,0.105656,0.002764,4.5E-05,0.002719
35,0.105701,192.168.43.170,151.101.64.134,TCP,54,51205  >  443 [ACK] Seq=1 Ack=11201 Win=257 Len=0,,,,,,0.108465,0.105701,0.007206,0.002764,0.004442
36,0.108465,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.115671,0.108465,5.6E-05,0.007206,-0.00715
37,0.115671,151.101.64.134,192.168.43.170,TLSv1.2,1454,Application Data [TCP segment of a reassembled PDU],,,,,,0.115727,0.115671,0.000265,5.6E-05,0.000209
38,0.115727,192.168.43.170,151.101.64.134,TCP,54,51205  >  443 [ACK] Seq=1 Ack=14001 Win=257 Len=0,,,,,,0.115992,0.115727,0.005466,0.000265,0.005201
39,0.115992,192.168.43.170,142.250.4.132,UDP,75,63800  >  443 Len=33,,,,,,0.121458,0.115992,0.00015,0.005466,-0.005316
